questionset,questionID,section,question,answer1,answer2,answer3,answer4,correctAnswer,selectedAnswer,isCorrect,skipReview,inBonusSection,ausValueSelectedAnswer,ausValueIsCorrect
1,0,1,How many stars has the Australian flag?,4,5,6,7,3,0,0,0,0,0,0
1,1,1,What is the name of Australian national anthem?,Waltzing Matilda,Advance Australia Fair,God Save the Queen,I am Australian,2,0,0,0,0,0,0
1,2,1,What is Australia%quote%s national flower?,Golden Wattle,Red rose,Iris,Gymea lily,1,0,0,0,0,0,0
1,3,1,What is Australia%quote%s national colours?,Red and Blue,Black,Green and gold,Blue and White,3,0,0,0,0,0,0
1,4,1,What is Australia%quote%s national gemstone?,Gold,Diamond,Limestone,Opal,4,0,0,0,0,0,0
1,5,2,How does the government help Australians in need?,Through social security and other services,Government members donating part of their income to people in need ,The Queen of Australia giving money to people in need,All of the above,1,0,0,0,0,0,0
1,6,2,The national police force is called the:,Australian Defence Force,Australian Federal Police,Australia Police,None of the above,2,0,0,0,0,0,0
1,7,2,At the citizenship ceremony%comma% you pledge that you share Australia%quote%s democratic beliefs and that you ____ ?,Work for the government,Get a passport,Join the army,Respect the rights and liberties of the people of Australia. ,4,0,0,0,0,0,0
1,8,2,Which of the following describes women%quote%s rights in Australia?,All Australian women must get married before the age of 35,All Australian women must get their father%quote%s permission to marry.,Australian women under the age of 20 must not get married,Australian women have the right to make their own decision about marriage,4,0,0,0,0,0,0
1,9,2,Which of these statements about government in Australia is correct?,The government does not allow some religions,The government in Australia is secular,Religious laws are passed by Parliament,Catholic is official religion of Australia,2,0,0,0,0,0,0
1,10,3,Representatives for state and territory governments are chosen by:,The Queen,The Prime Minister,Citizens in their area through election,None of the above,3,0,0,0,0,0,0
1,11,3,Which of the following is the name of the legal document that contains the rules for the government of Australia?,The Australian Law Book,the Australian Government Manual,The Australian Federation,The Australian Constitution,4,0,0,0,0,0,0
1,12,3,What is the significance of 1 January 1901?,The Australian Constitution came into effect,The Australian Constitution was amended,The Australian Constitution was drafted,None of the above,1,0,0,0,0,0,0
1,13,3,Who is responsible for immigration and citizenship in Australia?,The state government,The Australian Government,The territory government,The local government,2,0,0,0,0,0,0
